iter	Passed	Remaining
0	81	81160
1	110	55132
2	132	44001
3	167	41760
4	191	38084
5	215	35721
6	225	32016
7	244	30297
8	279	30727
9	310	30752
10	340	30624
11	364	29982
12	389	29547
13	412	29052
14	432	28376
15	457	28118
16	478	27690
17	501	27358
18	520	26892
19	529	25965
20	555	25878
21	585	26006
22	610	25931
23	637	25911
24	662	25842
25	691	25893
26	716	25807
27	739	25667
28	761	25513
29	782	25296
30	798	24951
31	838	25355
32	857	25120
33	871	24768
34	902	24884
35	918	24592
36	947	24659
37	969	24549
38	995	24541
39	1019	24456440	1046	24484441	1066	24318442	1093	24337443	1114	24210444	1143	24270445	1169	24245446	1189	24120447	1213	24068448	1239	24057449	1264	24025550	1282	23861551	1306	23818552	1333	23828553	1361	23852554	1387	23833555	1410	23774
56	1431	23686
57	1457	23663
58	1479	23601
59	1504	23564
60	1523	23455661	1546	23400
62	1569	23343
63	1589	23243
64	1614	23218
65	1643	23265
66	1661	23139
67	1682	23065668	1708	23053
69	1730	22990
70	1752	22930
71	1777	22912
72	1803	22904
73	1829	22887
74	1852	22850
75	1879	22844
76	1901	22795
77	1923	22735
78	1946	22693
79	1972	22681
80	2002	22722
81	2033	22770
82	2057	22732
83	2091	22810
84	2123	22861
85	2146	22807
86	2171	22786
87	2193	22728
88	2216	22690
89	2241	22668
90	2269	22665
91	2296	22664
92	2324	22674
93	2346	22617
94	2372	22604
95	2403	22628
96	2427	22601
97	2450	22555
98	2481	22580
99	2503	22531
100	2528	22504
101	2561	22549
102	2584	22509
103	2610	22491
104	2630	22422
105	2659	22429
106	2678	22351
107	2702	22318
108	2720	22240
109	2749	22249
110	2776	22234
111	2797	22176
112	2822	22157
113	2843	22101
114	2867	22066
115	2890	22026
116	2912	21984
117	2939	21972
118	2964	21946
119	2983	21880
120	3005	21834
121	3024	21767
122	3046	21719
123	3071	21700
124	3094	21664
125	3116	21618
126	3142	21603
127	3167	21581
128	3187	21522
129	3209	21476
130	3230	21428
131	3260	21438
132	3285	21418
133	3307	21376
